Index,Audio_Path,True_Label,Pred_Label,Confidence,True_Label_Score,,,
670,datasets/raw/LID/en/FtS5H8CdNDw__U__S108---2366.230-2377.170.wav,en,vi,0.5708,0.036,,,
2222,datasets/raw/LID/zh/2ydOskJvnGA__U__S10---0845.630-0863.910.wav,zh,en,0.5675,0.4304,,,
2222,datasets/raw/LID/zh/2ydOskJvnGA__U__S10---0845.630-0863.910.wav,zh,en,0.5675,0.4304,,,
13320,datasets/raw/LID/en/Ha3jwaTu10o__U__S102---0552.640-0559.920.wav,en,ko,0.5317,0.0371,,,
13320,datasets/raw/LID/en/Ha3jwaTu10o__U__S102---0552.640-0559.920.wav,en,ko,0.5317,0.0371,,,
1046,datasets/raw/LID/vi/6qulrX48roE__U__S157---1117.600-1123.040.wav,vi,th,0.523,0.4765,,,
1046,datasets/raw/LID/vi/6qulrX48roE__U__S157---1117.600-1123.040.wav,vi,th,0.523,0.4765,,,
46,datasets/raw/LID/ja/Ust3t_DDcVs__U__S96---0652.780-0654.860.wav,ja,ko,0.5037,0.4829,,,
46,datasets/raw/LID/ja/Ust3t_DDcVs__U__S96---0652.780-0654.860.wav,ja,ko,0.5037,0.4829,,,
7879,datasets/raw/LID/zh/euxs5HPMKoI__U__S115---0364.690-0371.200.wav,zh,th,0.4946,0.494,,,
7879,datasets/raw/LID/zh/euxs5HPMKoI__U__S115---0364.690-0371.200.wav,zh,th,0.4946,0.494,,,
13842,datasets/raw/LID/ja/vML_he9lFUc__U__S110---0763.410-0767.220.wav,ja,th,0.4178,0.135,,,
13842,datasets/raw/LID/ja/vML_he9lFUc__U__S110---0763.410-0767.220.wav,ja,th,0.4178,0.135,,,
4598,datasets/raw/LID/en/jeCtnVlA9G8__U__S186---0236.300-0242.620.wav,en,zh,0.3513,0.123,,,
4598,datasets/raw/LID/en/jeCtnVlA9G8__U__S186---0236.300-0242.620.wav,en,zh,0.3513,0.123,,,
